timestamp,robot_id,v_cmd,w_cmd
1777384359.061737,tb7,-0.007465685748127417,-1.5
1777384359.1050608,tb1,0.18,-0.1888504769128427
1777384359.1117382,tb7,-0.006276996036164375,-1.5
1777384359.1548648,tb1,0.18,-0.18868008079946433
1777384359.1617281,tb7,-0.006250800111342853,-1.5
1777384359.2048898,tb1,0.18,-0.18824099788717014
1777384359.2117043,tb7,-0.006211709206589183,-1.5
1777384359.2560017,tb1,0.18,-0.189666573743269
1777384359.2617178,tb7,-0.007458471979094917,-1.5000000000000002
1777384359.3050952,tb1,0.18,-0.18898729520136112
1777384359.3118317,tb7,-0.006339602033965723,-1.5
1777384359.3548536,tb1,0.18,-0.1887838776774467
1777384359.361637,tb7,-0.006258795068860053,-1.5
1777384359.4050188,tb1,0.18,-0.18845337215517627
1777384359.4117281,tb7,-0.006249273686448744,-1.5
1777384359.4547193,tb1,0.18,-0.18938892133352045
1777384359.4619596,tb7,-0.0075187024606369075,-1.5
1777384359.5048406,tb1,0.18,-0.1888446202489758
1777384359.5117111,tb7,-0.006273851522846992,-1.5
1777384359.554739,tb1,0.18,-0.18856761722091755
1777384359.5617056,tb7,-0.006272679728747665,-1.5
1777384359.6047385,tb1,0.18,-0.18852732454022073
1777384359.611817,tb7,-0.006127517618905847,-1.5
1777384359.6547318,tb1,0.18,-0.18959721790914688
1777384359.6616392,tb7,-0.007606106261648735,-1.5
1777384359.705159,tb1,0.18,-0.18880470053422785
1777384359.7117367,tb7,-0.006236804478515986,-1.5
1777384359.755028,tb1,0.18,-0.188670871465369
1777384359.7616074,tb7,-0.006101910110561359,-1.5
1777384359.8050249,tb1,0.18,-0.18893526604426733
1777384359.8115766,tb7,-0.0062713462842909455,-1.5000000000000002
1777384359.8553143,tb1,0.18,-0.18941688466369286
1777384359.8615756,tb7,-0.007768901246561833,-1.5
1777384359.9050188,tb1,0.18,-0.18881313179641962
1777384359.9116235,tb7,-0.006275018375051814,-1.5
1777384359.9551888,tb1,0.18,-0.18861533458081353
1777384359.961733,tb7,-0.006155898128190306,-1.5
1777384360.0047262,tb1,0.18,-0.1886419346726866
1777384360.0117402,tb7,-0.006254606114350133,-1.5
1777384360.0549757,tb1,0.18,-0.1890186908478822
1777384360.0617611,tb7,-0.007830713659178203,-1.5
1777384360.1049411,tb1,0.18,-0.18883504434607973
1777384360.111743,tb7,-0.0063098571926332,-1.4999999999999998
1777384360.1549492,tb1,0.18,-0.18867139437484834
1777384360.161702,tb7,-0.006250897777980227,-1.5
1777384360.2049942,tb1,0.18,-0.18859135405352523
1777384360.2116902,tb7,-0.006321836464320351,-1.5
1777384360.2548103,tb1,0.18,-0.18928542093735184
1777384360.2616632,tb7,-0.00786015691739104,-1.4999999999999998
1777384360.3048244,tb1,0.18,-0.18887648580189745
1777384360.3116653,tb7,-0.006311682113355881,-1.5
1777384360.3550735,tb1,0.18,-0.1887184753840776
1777384360.3616815,tb7,-0.006259613573465026,-1.5
1777384360.4049473,tb1,0.18,-0.18856033107809708
1777384360.4117103,tb7,-0.006177926350974269,-1.4999999999999998
1777384360.4550006,tb1,0.18,-0.18918512304078086
1777384360.461768,tb7,-0.007912849916028891,-1.5
1777384360.504709,tb1,0.18,-0.18888284862300161
1777384360.5116758,tb7,-0.006075060554570491,-1.5
1777384360.5550086,tb1,0.18,-0.18856197479625464
1777384360.5619094,tb7,-0.006259932317491052,-1.5
1777384360.6047573,tb1,0.18,-0.18879465008302346
1777384360.6119084,tb7,-0.006228487477249573,-1.5
1777384360.654936,tb1,0.18,-0.18932818694881054
1777384360.6617687,tb7,-0.008004944371426528,-1.4999999999999998
1777384360.7049122,tb1,0.18,-0.18860016653370995
1777384360.711739,tb7,-0.0062347795209615935,-1.4999999999999998
1777384360.754752,tb1,0.18,-0.18849585822495926
1777384360.761707,tb7,-0.006144698259686339,-1.5
1777384360.8048356,tb1,0.18,-0.1886175656169854
1777384360.8116937,tb7,-0.006122423334721968,-1.5
1777384360.8547688,tb1,0.18,-0.18897976836310776
1777384360.8616524,tb7,-0.008075543743647466,-1.5
1777384360.9048088,tb1,0.18,-0.1929176021155055
1777384360.911704,tb7,-0.006253573091535079,-1.5
1777384360.95494,tb1,0.18,-0.19307024024987435
1777384360.961673,tb7,-0.006196287254716789,-1.5
1777384361.004763,tb1,0.18,-0.19308037087966318
1777384361.01167,tb7,-0.006235039099670408,-1.5000000000000002
1777384361.0549407,tb1,0.18,-0.19319505155846622
1777384361.061708,tb7,-0.00811839882625361,-1.5
1777384361.1047304,tb1,0.18,-0.19301908866587472
1777384361.1117642,tb7,-0.0062006970384058824,-1.5
1777384361.1550045,tb1,0.18,-0.1931461761940606
1777384361.1616967,tb7,-0.0062222152603889054,-1.5
1777384361.2051532,tb1,0.18,-0.19294057956933572
1777384361.2116406,tb7,-0.006301160211585448,-1.5
1777384361.2547634,tb1,0.18,-0.19297344341980743
1777384361.2615995,tb7,-0.008174063772877747,-1.4999999999999998
1777384361.3050215,tb1,0.18,-0.1930507680525137
1777384361.3115513,tb7,-0.006045503639672315,-1.5
1777384361.3547351,tb1,0.18,-0.19266479729371444
1777384361.361708,tb7,-0.0062603645766508296,-1.5
1777384361.4047503,tb1,0.18,-0.19291417439799657
1777384361.4115677,tb7,-0.006098639863230607,-1.5
1777384361.4548004,tb1,0.18,-0.1934402820937992
1777384361.4617066,tb7,-0.008184479642636381,-1.5
1777384361.5047176,tb1,0.18,-0.1931176603919851
1777384361.511719,tb7,-0.006238262799616014,-1.5000000000000002
1777384361.554755,tb1,0.18,-0.1929302278877276
1777384361.5617328,tb7,-0.006264418738309421,-1.5
1777384361.6047509,tb1,0.18,-0.1932207989770857
1777384361.6115346,tb7,-0.006278444239236832,-1.5
1777384361.6549132,tb1,0.18,-0.19303235691735623
1777384361.6617224,tb7,-0.006180402008462816,-1.5
1777384361.7047348,tb1,0.18,-0.19262860769191367
1777384361.7114842,tb7,-0.006117860766421469,-1.5000000000000002
1777384361.7550917,tb1,0.18,-0.19315680699864266
1777384361.761735,tb7,-0.0061993532933296526,-1.5
1777384361.8051982,tb1,0.18,-0.19312500575941696
1777384361.811625,tb7,-0.006232230023878656,-1.5
1777384361.854759,tb1,0.18,-0.1930590896300034
1777384361.8616402,tb7,-0.006232381250428358,-1.5
1777384361.9051077,tb1,0.18,-0.18466292906434592
1777384361.9116457,tb7,-0.00623818918411243,-1.5
1777384361.9549177,tb1,0.18,-0.18467328167025665
1777384361.961604,tb7,-0.006264602888010685,-1.5
1777384362.005165,tb1,0.18,-0.18476834076895038
1777384362.0116396,tb7,-0.0061811058848875965,-1.5
1777384362.0547333,tb1,0.18,-0.1846699260568495
1777384362.0616543,tb7,-0.006131103425758264,-1.5
1777384362.104734,tb1,0.18,-0.18448672107875974
1777384362.111567,tb7,-0.006079497013073085,-1.5
1777384362.1547139,tb1,0.18,-0.18184938019037306
1777384362.1616223,tb7,-0.006251858686396638,-1.5
1777384362.2050323,tb1,0.18,-0.18191616667027685
1777384362.2116804,tb7,-0.006239174535124192,-1.5
1777384362.2548347,tb1,0.18,-0.1818220148978544
